,senior,total_population,street parking,senior_ratio
가락동,13238,84273,1848,0.157084713
가리봉동,2305,12347,53,0.186685025
가산동,3104,27468,289,0.113004223
가양동,8652,27579,201,0.313716959
가회동,862,3939,199,0.218837268
갈현동,8793,42181,396,0.208458785
강일동,6349,34745,130,0.182731328
개봉동,19211,83585,762,0.22983789
개포동,7445,46531,638,0.16000086
거여동,7288,35571,931,0.204886003
고덕동,6735,48460,699,0.138980603
고척동,10828,52974,232,0.20440216
공덕동,6414,37038,304,0.173173497
공릉동,13619,79013,490,0.172364041
공항동,6617,46399,339,0.142610832
광장동,4237,34133,203,0.124132072
광희동,1192,7116,134,0.167509837
교남동,1721,9860,58,0.174543611
구로동,24193,128594,1125,0.18813475
구산동,6760,31548,234,0.214276658
구의동,13133,78117,529,0.168119615
군자동,3336,21461,50,0.15544476
금호제1가동,2871,14796,81,0.194038929
금호제2.제3가동,4162,22029,153,0.18893277
금호제4가동,2689,14231,42,0.188953693
길동,9174,45072,825,0.203541001
봉천동,38694,225866,2036,0.171313965
신림동,38868,234013,3320,0.166093337
남가좌동,7650,47253,288,0.161894483
남영동,1618,7301,198,0.221613478
남현동,3116,17962,266,0.173477341
내곡동,3573,17171,0,0.208083396
노량진제1동,6235,32846,57,0.189825245
녹번동,7715,36407,159,0.211909798
논현동,6356,42363,1336,0.150036589
능동,1740,11502,249,0.151278039
신당동,15876,72831,313,0.2179841
답십리동,10476,55942,342,0.187265382
당산제1동,3649,21564,304,0.169217214
당산제2동,5087,37094,170,0.137138082
대림동,12075,58550,1130,0.206233988
대방동,5932,36044,222,0.164576629
대조동,5435,27841,193,0.195215689
대치동,10633,80921,842,0.13139976
도곡동,8573,53115,467,0.1614045
신도림동,9023,55908,385,0.161390141
도봉동,13471,46304,526,0.29092519
독산동,19371,110143,986,0.175871367
돈암동,7057,37868,17,0.186357875
동선동,2281,16011,373,0.142464556
둔촌동,4653,24415,418,0.190579562
등촌동,14465,74095,358,0.19522235
마장동,4246,22170,577,0.191520072
마천동,8949,35615,1417,0.251270532
망우동,11239,54071,846,0.207856337
망원동,6932,37398,206,0.185357506
면목동,28903,136677,1964,0.211469377
명동,771,3403,52,0.226564796
명일동,7594,42243,496,0.179769429
목동,21276,145928,938,0.145797928
무악동,1523,8007,2,0.190208568
묵동,10518,52187,985,0.201544446
문래동,5053,32335,459,0.156270295
미아동,28303,128883,1110,0.219602275
반포동,11108,78094,399,0.14223884
잠원동,7172,50918,121,0.140853922
발산제1동,5572,35797,183,0.155655502
방배동,17198,94165,1634,0.182636861
방이동,9738,59980,1030,0.162354118
방학동,17271,72583,719,0.23794828
방화제2동,5333,22906,262,0.232821095
번동,12974,48530,404,0.26733979
보광동,2264,10679,204,0.212004869
보문동,2693,16577,295,0.162454003
부암동,1924,9400,122,0.204680851
북가좌동,10155,48560,680,0.209122735
불광동,15017,64760,336,0.231886967
사근동,1561,14235,46,0.10965929
사당동,14522,75154,790,0.193229901
사당제2동,6110,28427,91,0.214936504
사직동,1893,9258,106,0.204471808
삼선동,4207,22708,450,0.185265105
삼성동(강남구),6388,43105,754,0.148196265
삼전동,4447,29444,394,0.151032468
삼청동,648,2450,99,0.264489796
상계동,39950,197660,955,0.202114742
상도동,15200,80214,520,0.189493106
상봉동,7649,44141,507,0.173285607
상암동,4510,30403,512,0.148340624
상일동,7347,52281,258,0.140529064
서강동,3492,25454,707,0.137188654
서교동,3468,26303,345,0.131848078
서빙고동,2273,13239,313,0.171689705
서초동,11099,76044,698,0.145954973
석관동,7842,34698,444,0.226007263
석촌동,5041,31269,615,0.161213982
성내동,12638,66208,1780,0.190883277
성북동,3174,16475,428,0.192655539
성산제2동,6674,39156,191,0.170446419
세곡동,7349,45450,222,0.161694169
소공동,346,3373,59,0.102579306
송파동,7019,42459,597,0.165312419
수궁동,5102,23010,257,0.221729683
수색동,3155,20915,62,0.150848673
수유동,22885,93964,1224,0.243550722
숭인동,3106,17021,73,0.182480465
시흥동,23723,103069,674,0.230166199
신길동,16410,88529,668,0.185362988
신내동,12368,57316,343,0.215786168
신대방동,8057,47336,236,0.170208721
신사동(은평구),9767,45624,178,0.214075925
신수동,3559,22543,176,0.157876059
신월동,25993,119043,2278,0.218349672
신정동(양천구),30154,172803,1697,0.174499285
신촌동,2210,27079,226,0.081613058
쌍문동,16684,73706,891,0.226358777
안암동,2203,17147,335,0.128477285
암사동,12525,65971,780,0.189856149
양재제1동,7826,42020,632,0.186244645
양재제2동,3302,21458,569,0.153882002
양평제1동,2557,18465,353,0.138478202
양평제2동,2888,22924,315,0.125981504
여의동,6676,33936,692,0.196723244
역삼동,7789,71999,954,0.108182058
역촌동,9342,44114,425,0.211769506
연남동,2523,15132,447,0.166732752
연희동,6462,37222,1261,0.173607007
염창동,5011,41440,79,0.120921815
영등포동,3656,31712,375,0.115287588
오금동,7420,38066,1862,0.194924605
오류제2동,7934,37601,84,0.211005026
옥수동,4513,25631,104,0.176075846
왕십리도선동,4159,26801,138,0.155180777
용강동,3164,21655,310,0.146109444
용답동,2345,13033,402,0.179927875
용문동,2284,11446,29,0.199545693
용산제2가동,2127,10243,96,0.207654008
용신동,6746,40283,618,0.167465184
우이동,5204,19995,287,0.260265066
원효로제1동,2113,17682,155,0.119500057
원효로제2동,2506,13724,103,0.182599825
월계동,17564,75556,164,0.232463338
월곡제2동,3895,19492,236,0.199825569
을지로동,506,3393,257,0.149130563
응봉동,2667,14921,132,0.178741371
응암동,16155,84266,596,0.191714333
이문동,7689,41315,390,0.186106741
이촌동,6409,33411,337,0.191823052
이태원동,3362,18085,323,0.185899917
이화동,1383,7557,105,0.183009131
자양동,17535,97634,997,0.17959932
잠실동,16966,106675,580,0.159043825
신천동,6433,37899,115,0.169740626
장안동,13094,71064,597,0.184256445
장위동,10129,52447,522,0.193128301
장충동,907,5455,69,0.166269478
전농동,10285,51891,539,0.198203927
정릉동,8772,41212,342,0.212850626
제기동,5772,25372,761,0.227494876
종로제1.제2.제3.제4가동,1804,8466,265,0.213087645
종로제5.제6가동,1089,5807,175,0.187532289
종암동,7332,39501,375,0.185615554
중계동,5569,49425,196,0.112675771
중곡동,15350,80269,883,0.191231982
중림동,2239,12533,40,0.178648368
중화동,9573,43041,969,0.222415836
증산동,3769,18276,288,0.206226745
진관동,9301,54253,0,0.171437524
창신동,4544,20511,250,0.221539662
창동,24146,116271,706,0.207670012
천연동,3415,16688,74,0.204638063
천호동,17441,86154,1765,0.202439817
청담동,3960,24820,751,0.159548751
청량리동,5749,19315,319,0.297644318
청운효자동,2209,11414,155,0.193534256
청파동,3388,19500,174,0.17374359
충현동,3634,20151,302,0.180338445
평창동,3695,17472,224,0.211481227
풍납동,7193,35928,1067,0.200205967
필동,898,5059,144,0.177505436
하계동,8625,48344,108,0.178408903
한강로동,3363,22620,635,0.14867374
한남동,3178,18352,300,0.173169137
합정동,2703,16543,352,0.163392371
행당동,6525,36863,121,0.177006755
혜화동,2726,19388,140,0.140602434
홍은동,10609,51693,449,0.205230882
홍제동,12205,55916,628,0.218273839
화곡동,36422,193357,1979,0.188366597
화양동,2437,27809,173,0.0876335
황학동,2186,13638,13,0.160287432
회기동,1553,13491,66,0.11511378
회현동,1381,5011,141,0.275593694
효창동,1645,10765,303,0.152810033
후암동,3141,16386,180,0.191688026
휘경동,6516,41538,205,0.15686841
흑석동,5314,32259,47,0.164729223
양재1동,7826,42020,632,0.186244645
성수동1가,4607,27760,412,0.165958213
용산2가동,2127,10243,96,0.207654008
종로1.2.3.4가동,1804,8466,265,0.213087645
성수동2가,4997,25295,1240,0.197548923
도림동,3656,19468,212,0.187795356
종로5.6가동,1089,5807,175,0.187532289
금호4가동,2689,14231,42,0.18893277
양재2동,3302,21458,569,0.153882002
금호2.3가동,4162,22029,153,0.188953693
항동,1989,16417,0,0.1211549
