행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 길가장자리구역통행중,사고유형 - 소분류_ 보도통행중,사고유형 - 소분류_ 차도통행중,사고유형 - 소분류_ 횡단중,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
가락동,23,1,8,7,19,0,6,10,0,5,0,35,2,0,0,19,6,32,0,1,0,0,3,8,8,38,0,1,0,0,3,0,8,28,5,2,3,5,0,4,3,10,7,9,14,10,0,5,84273,1848,0.157084713,0.017241379
가리봉동,11,0,1,1,2,0,0,2,0,0,0,12,1,0,0,4,1,10,0,0,0,0,2,1,1,11,0,0,0,0,0,0,2,9,3,0,1,0,0,0,0,1,3,1,4,4,0,2,12347,53,0.186685025,5.666666667
가산동,27,0,2,0,14,0,5,12,0,6,0,20,0,0,0,18,4,21,0,0,0,0,4,3,11,25,0,0,0,0,0,0,6,18,7,0,1,4,0,7,0,4,6,4,11,9,2,7,27468,289,0.113004223,0.76744186
가양동,6,0,0,2,9,0,0,5,0,5,1,6,0,0,0,10,2,5,0,0,0,0,1,3,6,7,0,0,0,0,0,0,0,13,0,0,1,2,0,1,0,2,5,2,3,3,2,0,27579,201,0.313716959,25.88235294
가회동,3,2,1,3,2,0,0,2,0,0,0,9,0,0,0,3,0,8,0,0,0,0,2,1,0,7,0,0,1,0,0,0,0,9,2,0,0,0,0,0,0,0,1,3,4,2,1,0,3939,199,0.218837268,10.81818182
갈현동,30,7,4,5,12,0,4,4,0,4,0,46,0,0,0,19,8,31,0,0,0,0,6,8,5,39,0,0,0,0,0,1,1,38,1,0,8,4,0,5,2,7,6,6,15,17,4,1,42181,396,0.208458785,1.017241379
강일동,1,1,1,0,3,0,0,1,0,1,0,4,0,0,0,3,0,3,0,0,0,0,0,2,1,3,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,1,2,1,0,1,1,0,34745,130,0.182731328,95.16666667
개봉동,26,8,4,4,10,0,4,7,0,0,0,41,0,0,0,25,4,23,0,0,0,0,7,11,7,27,0,0,0,0,1,1,0,36,5,0,0,2,0,7,2,4,5,4,14,15,7,1,83585,762,0.22983789,1.653846154
개포동,13,2,2,2,10,0,1,8,0,3,0,17,0,0,0,9,5,15,0,0,0,0,3,3,3,20,0,0,0,0,1,0,3,13,2,0,4,3,0,3,1,0,5,3,7,7,3,3,46531,638,0.16000086,0.931034483
거여동,9,0,2,3,8,0,3,1,0,3,0,15,0,0,0,10,2,10,0,0,0,0,5,3,2,12,0,0,0,0,0,0,1,13,0,0,4,3,0,1,0,4,1,7,5,3,1,1,35571,931,0.204886003,2.909090909
