행정동,사고유형 - 소분류_ 기타,사고유형 - 소분류_ 정면충돌,사고유형 - 소분류_ 추돌,사고유형 - 소분류_ 측면충돌,사고유형 - 소분류_ 후진중충돌,법규위반_교차로운행방법위반,법규위반_기타,법규위반_보행자보호의무위반,법규위반_불법유턴,법규위반_신호위반,법규위반_안전거리미확보,법규위반_안전운전불이행,법규위반_중앙선침범,법규위반_직진우회전진행방해,법규위반_차로위반,도로형태 - 대분류_교차로,도로형태 - 대분류_기타,도로형태 - 대분류_단일로,도로형태 - 대분류_미분류,도로형태 - 대분류_주차장,도로형태 - 소분류_ 고가도로위,도로형태 - 소분류_ 교량,도로형태 - 소분류_ 교차로부근,도로형태 - 소분류_ 교차로안,도로형태 - 소분류_ 교차로횡단보도내,도로형태 - 소분류_ 기타,도로형태 - 소분류_ 미분류,도로형태 - 소분류_ 주차장,도로형태 - 소분류_ 지하차도(도로)내,도로형태 - 소분류_ 터널,가해운전자 차종_개인형이동수단(PM),가해운전자 차종_건설기계,가해운전자 차종_기타불명,가해운전자 차종_농기계,가해운전자 차종_사륜오토바이(ATV),가해운전자 차종_승용,가해운전자 차종_승합,가해운전자 차종_원동기,가해운전자 차종_이륜,가해운전자 차종_자전거,가해운전자 차종_특수,가해운전자 차종_화물,가해운전자 연령대_10대 이하,가해운전자 연령대_20대,가해운전자 연령대_30대,가해운전자 연령대_40대,가해운전자 연령대_50대,가해운전자 연령대_60대,가해운전자 연령대_70대,가해운전자 연령대_미분류,total_population,street parking,senior_ratio,평균 ECLO
가락동,108,10,58,99,4,4,8,0,1,42,36,177,4,4,3,140,7,131,0,1,0,5,55,76,9,132,0,1,1,0,1,3,5,0,0,178,10,2,27,14,1,38,6,29,46,59,57,59,19,4,84273,1848,0.157084713,1.734767025
가리봉동,35,1,13,23,1,4,4,0,0,13,15,36,1,0,0,41,1,31,0,0,0,0,18,23,0,32,0,0,0,0,0,0,3,0,0,48,4,0,10,2,0,6,2,10,14,9,17,14,4,3,12347,53,0.186685025,7.109589041
가산동,100,5,37,30,3,1,2,0,0,11,34,109,10,3,5,65,6,104,0,0,2,5,21,42,2,100,0,0,2,1,3,2,2,0,1,120,5,1,11,4,1,25,4,14,40,38,38,31,8,2,27468,289,0.113004223,0.8
가양동,31,1,26,39,1,1,2,0,1,12,24,53,2,1,2,30,13,54,0,1,2,3,14,13,3,62,0,1,0,0,0,1,4,0,0,74,3,0,4,5,0,7,0,10,22,20,17,17,8,4,27579,201,0.313716959,1.867346939
가회동,4,0,4,13,1,1,0,0,0,2,6,11,0,1,1,11,1,10,0,0,0,0,4,6,1,11,0,0,0,0,0,0,0,0,0,15,1,0,3,1,0,2,1,3,6,3,4,3,2,0,3939,199,0.218837268,8.5
갈현동,33,3,12,26,4,2,3,0,1,2,9,52,2,5,2,38,7,33,0,0,0,0,9,27,2,40,0,0,0,0,0,1,0,0,0,52,5,0,12,5,0,3,2,9,10,14,19,16,8,0,42181,396,0.208458785,23.80769231
강일동,25,1,22,34,2,1,1,0,1,13,29,39,0,0,0,24,3,57,0,0,1,2,6,11,7,57,0,0,0,0,0,1,0,0,0,52,5,1,2,3,1,19,0,10,6,16,28,17,7,0,34745,130,0.182731328,8.857142857
개봉동,52,7,22,53,1,3,4,0,0,17,23,74,2,10,2,55,14,66,0,0,5,2,14,41,0,72,0,0,1,0,2,3,2,0,0,79,7,0,21,9,0,12,3,17,17,18,31,31,15,3,83585,762,0.22983789,12.26666667
개포동,80,6,37,46,2,10,2,0,0,10,44,96,2,4,3,62,12,97,0,0,0,1,26,34,2,101,0,0,3,4,1,0,1,0,0,122,11,0,10,6,0,20,1,16,32,34,35,42,10,1,46531,638,0.16000086,2.461988304
거여동,29,4,12,33,2,3,2,0,2,11,14,39,5,0,4,39,5,35,0,1,0,1,13,23,3,39,0,1,0,0,0,0,1,0,0,49,2,0,8,11,1,8,4,6,12,13,14,24,6,1,35571,931,0.204886003,23.0625
고덕동,25,5,14,34,1,2,2,0,0,6,21,46,1,1,0,25,1,53,0,0,2,2,8,16,1,49,0,0,1,0,1,1,1,0,0,61,3,1,0,1,2,8,2,8,14,9,21,19,4,2,48460,699,0.138980603,1.759493671
고척동,26,7,14,37,3,5,3,0,0,7,11,54,4,2,1,42,6,39,0,0,0,1,15,22,5,42,0,0,2,0,0,0,0,0,0,54,5,0,10,6,0,12,2,16,13,15,18,17,6,0,52974,232,0.20440216,1.965517241
공덕동,5,0,1,4,0,1,0,0,0,2,4,3,0,0,0,3,1,6,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,2,5,1,1,1,0,0,37038,304,0.173173497,30.5
공릉동,85,9,54,117,6,12,1,0,3,36,58,140,9,6,6,138,14,118,0,1,1,2,53,81,4,126,0,1,1,2,2,4,6,0,0,175,9,3,39,13,0,20,9,31,32,49,57,62,25,6,79013,490,0.172364041,0.516605166
공항동,2,2,0,2,0,1,0,0,0,2,1,1,1,0,0,2,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2,3,0,0,46399,339,0.142610832,75.33333333
광장동,13,1,22,15,0,0,2,0,0,2,7,35,3,0,2,15,9,27,0,0,0,3,11,4,0,33,0,0,0,0,0,0,1,0,0,39,1,1,2,1,0,6,1,4,11,7,17,7,3,1,34133,203,0.124132072,26.56862745
광희동,20,1,10,17,3,0,0,0,1,7,13,29,1,0,0,23,4,24,0,0,0,0,10,12,1,28,0,0,0,0,1,0,1,0,0,31,2,5,7,1,0,3,0,8,7,3,13,12,7,1,7116,134,0.167509837,3.176470588
교남동,2,2,4,9,1,1,0,0,0,1,4,10,2,0,0,9,0,9,0,0,1,0,5,4,0,7,0,0,1,0,1,0,0,0,0,9,3,0,4,0,0,1,0,4,3,4,5,2,0,0,9860,58,0.174543611,4.833333333
구로동,154,17,56,181,6,28,8,0,7,54,63,219,19,10,6,227,25,161,0,1,3,2,72,143,12,179,0,1,2,0,6,2,6,0,0,250,23,2,54,27,1,43,5,41,54,64,112,84,47,7,128594,1125,0.18813475,0.231884058
구산동,19,1,6,7,0,0,0,0,0,4,0,25,1,2,1,14,2,17,0,0,0,0,2,12,0,19,0,0,0,0,0,0,0,0,0,24,3,1,1,3,0,1,1,2,5,7,4,9,5,0,31548,234,0.214276658,9.818181818
구의동,32,5,19,37,1,6,2,0,1,10,7,62,3,2,1,41,16,37,0,0,1,2,16,24,1,49,0,0,0,1,0,1,2,0,0,64,5,3,8,6,0,5,2,12,17,15,16,20,10,2,78117,529,0.168119615,13.4893617
군자동,16,3,14,25,0,3,0,0,0,6,13,30,4,2,0,24,10,24,0,0,0,1,11,13,0,33,0,0,0,0,0,0,2,0,0,38,2,6,4,0,0,6,0,12,8,8,9,12,6,3,21461,50,0.15544476,1.327586207
금호2.3가동,8,1,5,6,0,1,0,0,0,4,4,9,2,0,0,8,0,12,0,0,0,0,4,4,0,12,0,0,0,0,0,0,1,0,0,10,0,1,6,0,0,2,0,3,3,3,3,6,1,1,22029,153,0.18893277,37.1
금호4가동,10,3,11,10,0,1,0,0,0,2,9,17,2,1,2,8,1,25,0,0,0,2,2,6,0,24,0,0,0,0,0,0,0,0,0,23,1,1,2,5,1,1,0,5,12,3,6,6,2,0,14231,42,0.188953693,24.94117647
길동,36,2,21,44,3,5,4,0,1,21,10,63,1,1,0,63,3,40,0,0,0,0,24,38,1,43,0,0,0,0,1,0,2,0,0,58,3,6,18,2,0,16,4,15,13,17,21,24,10,2,45072,825,0.203541001,1.396226415
