iter	RMSE
0	1.510118612
1	1.509870483
2	1.509825884
3	1.509661442
4	1.509636413
5	1.509459258
6	1.509459258
7	1.508941439
8	1.508913286
9	1.508659794
10	1.508627311
11	1.50845719
12	1.508072622
13	1.507996009
14	1.507928604
15	1.507608744
16	1.507605273
17	1.507365744
18	1.507354185
19	1.507351722
20	1.507350691
21	1.507349543
22	1.507349543
23	1.507349543
24	1.507349543
25	1.507342673
26	1.507191001
27	1.5070268
28	1.506816825
29	1.506701322
30	1.506574986
31	1.50638815
32	1.506198287
33	1.506197704
34	1.506140271
35	1.506055182
36	1.506015071
37	1.505791285
38	1.505791285
39	1.505648112
40	1.505648112
41	1.505484081
42	1.505350147
43	1.505350147
44	1.505350147
45	1.505094474
46	1.505094474
47	1.505086283
48	1.505023404
49	1.504993795
50	1.504982733
51	1.504884105
52	1.504884105
53	1.504655586
54	1.504574119
55	1.504252896
56	1.504187911
57	1.503922207
58	1.503908452
59	1.503908452
60	1.503901307
61	1.503819012
62	1.50371508
63	1.5037042
64	1.503579818
65	1.503333476
66	1.503333476
67	1.503266954
68	1.503023825
69	1.503022848
70	1.503022848
71	1.503022848
72	1.502865958
73	1.502829661
74	1.50282794
75	1.50276036
76	1.50276036
77	1.502560922
78	1.502432751
79	1.502432751
80	1.502313188
81	1.502239442
82	1.5021174
83	1.502099601
84	1.502041166
85	1.502028233
86	1.502024866
87	1.501993751
88	1.501878697
89	1.501660598
90	1.50160853
91	1.501604468
92	1.501604468
93	1.501604468
94	1.50151565
95	1.501451814
96	1.501449439
97	1.501449439
98	1.501316788
99	1.500992361
100	1.500935987
101	1.500935987
102	1.500852316
103	1.500797966
104	1.50079796
105	1.500692907
106	1.500605819
107	1.500605712
108	1.500605555
109	1.500378873
110	1.500378873
111	1.50018185
112	1.500013932
113	1.499826579
114	1.499757524
115	1.49972672
116	1.499652557
117	1.499583323
118	1.499500171
119	1.499500171
120	1.499500171
121	1.499485364
122	1.499421466
123	1.499337658
124	1.499261562
125	1.499184554
126	1.499020584
127	1.498916801
128	1.498916801
129	1.498916801
130	1.498789117
131	1.498720868
132	1.498613546
133	1.498555569
134	1.498493996
135	1.498445872
136	1.498405689
137	1.498378496
138	1.498249009
139	1.498129188
140	1.498128925
141	1.49799673
142	1.497884641
143	1.497845334
144	1.497835003
145	1.497693285
146	1.497693285
147	1.497686345
148	1.497607597
149	1.497481849
150	1.497444087
151	1.497444087
152	1.497310765
153	1.497310765
154	1.497102091
155	1.497067745
156	1.497067745
157	1.497067302
158	1.496978037
159	1.496978037
160	1.496959588
161	1.496949565
162	1.496928317
163	1.496884249
164	1.496749317
165	1.496746452
166	1.49667581
167	1.496633797
168	1.496533339
169	1.496443169
170	1.496443087
171	1.496384828
172	1.496292722
173	1.496204027
174	1.496204027
175	1.496117214
176	1.496115763
177	1.496105091
178	1.496003783
179	1.496003783
180	1.496003783
181	1.495909563
182	1.49587804
183	1.495756882
184	1.495737528
185	1.495720723
186	1.495653469
187	1.495578769
188	1.495479618
189	1.495455982
190	1.495455982
191	1.495455629
192	1.495336163
193	1.495218373
194	1.495185139
195	1.495184408
196	1.495057123
197	1.495008872
198	1.494974371
199	1.494910251
200	1.494910251
201	1.494792687
202	1.494769701
203	1.494749051
204	1.494748024
205	1.494703257
206	1.494613361
207	1.49458896
208	1.494523041
209	1.494415061
210	1.494415061
211	1.494382691
212	1.494382691
213	1.494204192
214	1.49405603
215	1.4940306
216	1.493952466
217	1.493952466
218	1.493950179
219	1.493890602
220	1.493792337
221	1.493691834
222	1.493691834
223	1.493651717
224	1.49352798
225	1.493345598
226	1.493209204
227	1.493176124
228	1.493176124
229	1.493176124
230	1.493096484
231	1.492963847
232	1.492842964
233	1.492761158
234	1.492750869
235	1.492750869
236	1.492712295
237	1.492589056
238	1.49251799
239	1.492492785
240	1.492460214
241	1.492389208
242	1.492388786
243	1.492345781
244	1.49232604
245	1.49232604
246	1.492259608
247	1.492200873
248	1.492188461
249	1.492061478
250	1.491886747
251	1.49173692
252	1.491717697
253	1.491653707
254	1.491638964
255	1.491591007
256	1.491587135
257	1.491584591
258	1.491534828
259	1.491534828
260	1.491508037
261	1.491504975
262	1.491444844
263	1.491428202
264	1.49140226
265	1.491342442
266	1.491250455
267	1.491250455
268	1.491250455
269	1.491071175
270	1.491033876
271	1.490940641
272	1.490937635
273	1.490935966
274	1.490905613
275	1.490881873
276	1.49081817
277	1.490754032
278	1.490751212
279	1.490539071
280	1.490479813
281	1.490285608
282	1.490285608
283	1.490285608
284	1.490256596
285	1.490120733
286	1.489882398
287	1.489807485
288	1.489807485
289	1.489781771
290	1.4897376
291	1.489611506
292	1.489546335
293	1.489472242
294	1.489285344
295	1.489181581
296	1.489146232
297	1.489072151
298	1.488869682
299	1.488865755
300	1.488813735
301	1.488746128
302	1.488662766
303	1.488368279
304	1.488244861
305	1.488213958
306	1.488078988
307	1.488060059
308	1.487918028
309	1.487761004
310	1.487434588
311	1.487182821
312	1.487079012
313	1.48692289
314	1.48674912
315	1.48667944
316	1.486458936
317	1.486368701
318	1.486230621
319	1.486124759
320	1.486050806
321	1.485657338
322	1.485476657
323	1.485396278
324	1.485224686
325	1.484990854
326	1.484862225
327	1.484811593
328	1.484597954
329	1.48457635
330	1.484402814
331	1.484248651
332	1.484245163
333	1.48382344
334	1.483720956
335	1.483669985
336	1.483485184
337	1.483090451
338	1.482892659
339	1.482586426
340	1.482565879
341	1.48246159
342	1.482185186
343	1.481985967
344	1.481956271
345	1.481928444
346	1.481831064
347	1.481784154
348	1.481582866
349	1.481473336
350	1.481391266
