iter	Passed	Remaining
0	18	120678
1	36	120044
2	52	113247
3	71	116372
4	81	105323
5	100	109202
6	106	98632
7	128	104606
8	140	101564
9	159	103256
10	174	102681
11	191	103340
12	208	104108
13	225	104471
14	243	105463
15	262	106538
16	271	103576
17	291	104894
18	303	103566
19	311	101068
20	325	100466
21	335	98686
22	340	95995
23	346	93498
24	351	91141
25	360	89846
26	368	88432
27	386	89416
28	406	90634
29	424	91530
30	440	91852
31	460	93007
32	479	93873
33	489	93001
34	506	93650
35	525	94286
36	533	93206
37	552	93951
38	557	92402
39	572	92489
40	577	91008
41	588	90557
42	609	91532
43	614	90184
44	619	88912
45	637	89512
46	643	88339
47	651	87638
48	671	88389
49	686	88616
50	699	88405
51	719	89161
52	725	88208
53	744	88875
54	764	89566
55	782	90045
56	802	90728
57	821	91190
58	829	90593
59	834	89615
60	847	89409
61	854	88729
62	866	88526
63	881	88679
64	899	89086
65	919	89602
66	924	88729
67	936	88573
68	954	88946
69	963	88533
70	968	87701
71	973	86872
72	989	87106
73	1008	87575
74	1017	87173
75	1033	87342
76	1038	86614
77	1055	86920
78	1073	87267
79	1078	86560
80	1096	86915
81	1115	87339
82	1137	87916
83	1149	87827
84	1167	88126
85	1182	88214
86	1191	87860
87	1200	87505
88	1219	87839
89	1238	88231
90	1253	88314
91	1265	88155
92	1270	87520
93	1275	86919
94	1292	87115
95	1309	87381
96	1317	86999
97	1323	86463
98	1343	86854
99	1362	87202
100	1371	86864
101	1375	86293
102	1393	86518
103	1410	86761
104	1419	86436
105	1437	86710
106	1456	87018
107	1466	86770
108	1475	86501
109	1492	86709
110	1497	86189
111	1517	86543
112	1535	86807
113	1554	87083
114	1563	86805
115	1575	86693
116	1593	86946
117	1612	87219
118	1631	87474
119	1636	87026
120	1641	86555
121	1650	86285
122	1668	86490
123	1687	86753
124	1706	87029
125	1724	87228
126	1743	87484
127	1762	87763
128	1767	87316
129	1772	86866
130	1791	87084
131	1809	87278
132	1827	87467
133	1843	87559
134	1860	87720
135	1872	87601
136	1880	87319
137	1892	87231
138	1912	87532
139	1933	87825
140	1943	87628
141	1961	87838
142	1980	88023
143	1998	88202
144	2010	88120
145	2029	88340
146	2034	87936
147	2042	87655
148	2059	87801
149	2077	87949
150	2089	87846
151	2093	87449
152	2112	87647
153	2117	87274
154	2137	87497
155	2156	87707
156	2161	87340
157	2169	87091
158	2188	87259
159	2192	86892
160	2204	86780
161	2211	86523
162	2228	86649
163	2242	86639
164	2260	86783
165	2269	86579
166	2286	86723
167	2306	86916
168	2325	87100
169	2344	87293
170	2353	87122
171	2373	87316
172	2394	87577
173	2415	87818
174	2421	87503
175	2438	87623
176	2446	87391
177	2458	87300
178	2476	87455
179	2481	87139
180	2486	86808
181	2504	86947
182	2516	86873
183	2535	87043
184	2547	86942
185	2558	86844
186	2576	86967
187	2596	87185
188	2614	87288
189	2628	87308
190	2633	87004
191	2641	86793
192	2660	86952
193	2680	87143
194	2699	87277
195	2707	87090
196	2725	87193
197	2744	87366
198	2758	87341
199	2776	87455
200	2781	87154
201	2796	87202
202	2808	87114
203	2827	87253
204	2835	87085
205	2854	87205
206	2871	87310
207	2884	87241
208	2903	87396
209	2922	87528
210	2927	87247
211	2945	87377
212	2951	87108
213	2970	87247
214	2988	87355
215	3005	87449
216	3025	87611
217	3030	87337
218	3040	87191
219	3059	87337
220	3079	87497
221	3100	87671
222	3105	87423
223	3124	87531
224	3144	87696
225	3163	87823
226	3181	87931
227	3200	88048
228	3206	87800
229	3211	87547
230	3229	87650
231	3247	87733
232	3267	87891
233	3286	88002
234	3294	87841
235	3299	87582
236	3314	87600
237	3333	87715
238	3351	87805
239	3363	87719
240	3378	87738
241	3396	87820
242	3404	87652
243	3421	87720
244	3436	87726
245	3441	87504
246	3461	87628
247	3480	87732
248	3492	87678
249	3511	87779
250	3531	87921
251	3550	88020
252	3563	87986
253	3584	88151
254	3603	88239
255	3615	88194
256	3627	88127
257	3636	87992
258	3656	88107
259	3662	87897
260	3678	87927
261	3687	87793
262	3706	87897
263	3718	87823
264	3730	87769
265	3749	87874
266	3766	87937
267	3772	87720
268	3777	87498
269	3795	87577
270	3815	87688
271	3833	87784
272	3850	87823
273	3858	87682
274	3877	87771
275	3892	87784
276	3910	87853
277	3928	87922
278	3937	87789
279	3954	87855
280	3974	87952
281	3993	88047
282	3998	87845
283	4007	87716
284	4026	87809
285	4046	87909
286	4064	87982
287	4081	88033
288	4086	87828
289	4102	87842
290	4120	87923
291	4138	87983
292	4155	88032
293	4175	88139
294	4194	88223
295	4213	88319
296	4226	88262
297	4244	88333
298	4263	88413
299	4274	88339
300	4293	88429
301	4313	88535
302	4333	88636
303	4352	88705
304	4372	88812
305	4390	88870
306	4410	88973
307	4428	89037
308	4447	89113
309	4468	89219
310	4487	89311
311	4506	89376
312	4525	89453
313	4543	89519
314	4561	89560
315	4581	89658
316	4599	89717
317	4618	89792
318	4636	89834
319	4655	89911
320	4675	90008
321	4697	90118
322	4715	90172
323	4735	90257
324	4753	90310
325	4772	90383
326	4791	90452
327	4810	90516
328	4828	90570
329	4850	90686
330	4868	90742
